GeneSymbol	ensembl_id	pval	adj_pval	logFC	direction
PLOD3		0.000366588034679567	0.034679228080687	0.11680647058294	UP
LOC339123		0.000444279424845723	0.0364079561497433	0.116547955427524	UP
CYB5R3		0.000773655222963008	0.0462729869947543	0.116177375701508	UP
HCCA2		6.53376764936723e-05	0.0189319208499659	0.116119877509112	UP
DPF2		0.000288551462302342	0.0323170929623819	0.116010673507109	UP
AKAP8L		0.000329083008118911	0.0329935242062998	0.115949433469984	UP
IDH3G		0.000419074145491006	0.0357575900806118	0.115814887210224	UP
ABCF1		0.000184659803314731	0.0281277568201608	0.114942737379774	UP
PIGQ		0.000911799606111282	0.0492645875358041	0.11442519596295	UP
SNX17		4.06160253250423e-05	0.0158662696680405	0.11390987582687	UP
HNRPUL1		6.20695032406188e-05	0.0189319208499659	0.113581928525939	UP
KIAA0152		0.000520545610786138	0.0389065859819471	0.112617284771872	UP
GLT25D1		0.000828008738783053	0.047196498110634	0.112582097201249	UP
SYTL1		0.000866821266450811	0.0480871772937866	0.112139983576084	UP
CENPB		0.000753490401583065	0.0456556388649512	0.111617056344961	UP
TESK1		8.02144326173816e-05	0.0202117880167965	0.111379930741732	UP
LOC407835		0.000739501724783682	0.0456424029521523	0.110783599991716	UP
SCAMP3		0.000152663783584115	0.0267728030444705	0.109832662106777	UP
RAVER1		0.00078888753750142	0.0464894412485085	0.108556477736261	UP
SMARCA4		0.000162104015598695	0.0267728030444705	0.106528422220467	UP
LAPTM5		0.000824965218956069	0.0471475055639972	0.106292148703682	UP
NDUFS8		0.000612309008006457	0.0416024955229512	0.105127159765448	UP
KLF13		0.000391478421236771	0.0351209684015692	0.105114140578561	UP
RAPGEF1		0.000219856656730059	0.0291765454743786	0.105025498169994	UP
LOC644590		0.000505949232350722	0.0386427684232516	0.103126081905112	UP
AP2S1		0.000731071039237731	0.0456424029521523	0.103013869478728	UP
HGS		0.000750456350571026	0.0456556388649512	0.102277408814532	UP
APBA3		0.000461136097608692	0.0367495548722879	0.102040289813491	UP
FBXW4		9.87304539182246e-05	0.0228013637718687	0.101071435098211	UP
ECHS1		0.000579678432308838	0.04094175744661	0.100989895651511	UP
IDH3B		2.33219553030958e-05	0.0125024361604914	0.100946585557503	UP
RNH1		0.000359822245763147	0.034467394627111	0.100936684175915	UP
ACD		0.000173308930967259	0.0273098498222203	0.100790889700551	UP
