GeneSymbol	ensembl_id	pval	adj_pval	logFC	direction
NFE2		0.000856656419708365	0.010152225816157	0.165142950569598	UP
HS.370503		1.91790364970001e-06	6.368054224084e-05	0.164881456250701	UP
MFN2		0.000286993781438963	0.00418700983101966	0.164748205250092	UP
MYO9B		2.04004466459159e-05	0.000461036414099363	0.164413690737273	UP
LILRA2		0.00267793145162014	0.0256027339954364	0.163954233773778	UP
LOC162073		1.94380174721715e-06	6.44610564658321e-05	0.163556162727046	UP
ZNF787		7.45798714953079e-07	2.91835691637881e-05	0.163283027092644	UP
AXUD1		0.000676240310470232	0.00838258161406342	0.163149493676475	UP
EP300		4.80906406413253e-06	0.000137494354435925	0.162582803382245	UP
SEMA4A		0.0048618293493022	0.0407080065486139	0.162174624002114	UP
LRP3		4.01614038300036e-07	1.72694036469016e-05	0.161995246648265	UP
GLT25D1		1.569173975973e-05	0.00036936111130056	0.16189648752276	UP
NDE1		0.000837212985175472	0.00997845890954882	0.161849258998643	UP
VPS37B		4.84616517650198e-06	0.000138408325554735	0.161809758062347	UP
MAN2A2		3.99147929389955e-07	1.71907784732949e-05	0.161722081712371	UP
C1ORF183		0.00022083472881087	0.00335432401322246	0.161660535603971	UP
IRF7		0.000467935693836615	0.00619342868999949	0.1616206751641	UP
BICD2		1.11620627530029e-06	4.07778284395274e-05	0.161580227075925	UP
LOC643313		0.00162945809436499	0.0171608670633494	0.161533488247146	UP
STK40		1.42246586054428e-05	0.000341201975677351	0.161389086849118	UP
HS.184721		0.000976075239415708	0.0112822013147806	0.161127559295799	UP
PISD		9.15372112383315e-05	0.0016398237556124	0.161106334705195	UP
SLC9A8		1.50311530784706e-06	5.2022454191097e-05	0.160963536592281	UP
HIP1		0.000505316413975994	0.00658792835454873	0.160846716824995	UP
ITGB7		0.000976572028972974	0.0112822013147806	0.160716822853477	UP
CD163		1.44001289676872e-05	0.000343576882387446	0.1600785653748	UP
HS.254477		3.2024624891427e-05	0.000673695715184851	0.159995229443641	UP
ABCA7		2.85752421525333e-07	1.32147016067658e-05	0.159956413566247	UP
RNF165		0.000463644718738177	0.00614568596946902	0.159938536329625	UP
CSAD		4.52228203969397e-06	0.000130961596210729	0.159652589733753	UP
MKL1		1.02636205299095e-06	3.82274036963437e-05	0.159559108685269	UP
EXTL3		9.28513639768986e-05	0.00166005677996098	0.15949247979138	UP
FRAT2		0.000380164762691554	0.00526161302203645	0.159428277414438	UP
TPP1		0.000485826919006156	0.00638945344552437	0.159183099670381	UP
IRF9		0.00012904142999795	0.00216871009141113	0.158698935444225	UP
CHD8		0.000104783533539694	0.00183437471941535	0.158574471749525	UP
TRIM21		6.72370422815777e-05	0.00127212483996745	0.158460244970293	UP
GMEB2		6.39553958604566e-08	3.62248199116338e-06	0.158164599127172	UP
RBM33		9.91937895007133e-06	0.000251586430736475	0.158086171640528	UP
ITPK1		0.000522575130242289	0.00677303167374707	0.158031915484781	UP
RNF31		1.31045976827761e-05	0.000319451227961416	0.157937327390146	UP
STK11IP		7.66654690796692e-10	8.23497096357355e-08	0.157933414983546	UP
ARHGEF2		8.82650947358224e-08	4.73104417330518e-06	0.157909508264094	UP
MYO1F		0.00159117963261929	0.0168273713434378	0.157869150281908	UP
ALDOA		0.0002354507853771	0.0035384551976321	0.157806781506606	UP
HS.473255		7.7796063979913e-09	5.97566860673058e-07	0.157559720643521	UP
HS.443602		1.30462394619927e-06	4.63425114802088e-05	0.157523052808168	UP
UBE1		4.34066492113523e-05	0.000868165185005393	0.157327726619013	UP
HIST1H3H		1.30973911177204e-05	0.000319451227961416	0.156816292145153	UP
ACTN4		0.0002230158475789	0.00338173805769107	0.156767048339233	UP
FASN		3.89680179244789e-05	0.000797734799743262	0.156551555055623	UP
IFI6		0.00502375544834474	0.041793044340743	0.156455858889379	UP
PNPLA2		0.00566512245523204	0.0461442194910909	0.155869054540549	UP
C15ORF39		0.00297753501184528	0.0278064847434571	0.155280981943712	UP
CENTA1		2.64939933297317e-05	0.000575371342901704	0.155068159506639	UP
ADAM15		3.02659906053707e-06	9.33640014543936e-05	0.155020026462264	UP
ZDHHC8		9.06465318526571e-06	0.000234092063724089	0.154929896028875	UP
HS.443185		0.000167867356740592	0.00266784987643165	0.15490238358748	UP
ACSS2		7.43132041655653e-07	2.91214868823809e-05	0.15470410540545	UP
MAPK8IP3		1.79779503000655e-07	8.74916097545247e-06	0.154571249706335	UP
LOC642788		4.96224058374255e-05	0.000973704282229133	0.154280023294012	UP
C9ORF89		9.04769969505871e-08	4.80335480148634e-06	0.154242773456033	UP
C1ORF85		0.000173687934130209	0.00274461678636967	0.154166014788025	UP
DDIT4		0.00403157178426599	0.0352012476438628	0.154157215761892	UP
TMEM91		0.00296086187273737	0.0276891421959321	0.154123805575905	UP
PHACTR2		2.8448527497418e-08	1.8089640326837e-06	0.154093003849351	UP
IMPA2		0.00155296391622854	0.0164905317626773	0.154035039621631	UP
ZNF746		9.24596582521166e-05	0.00165415052829152	0.153867061633958	UP
FICD		4.16677602563328e-08	2.48540815104201e-06	0.153826026975427	UP
ACTA2		0.0062479534637306	0.0499262220911798	0.153804251710056	UP
GATS		8.43437754440948e-06	0.000220348113347698	0.153697153629414	UP
SSH3		2.77067620757308e-07	1.29463087057847e-05	0.153593182624645	UP
HIST1H2AC		0.00357233149072005	0.032136679786888	0.15354321307781	UP
E4F1		1.18148108990366e-08	8.47178501725864e-07	0.153396280709208	UP
RGS19		7.65153529933199e-07	2.97681159026392e-05	0.153264529343112	UP
LRWD1		1.30662671863796e-06	4.63525828436816e-05	0.153221489367679	UP
ZNF148		1.55617220025949e-05	0.000366747890657309	0.153159953118683	UP
FLJ45909		2.81449127229624e-06	8.8234301386487e-05	0.15298425972985	UP
CREB5		0.00179597940552429	0.0185736098014347	0.152401806029202	UP
LOC441193		4.35121496790148e-05	0.000868985975922902	0.15234972017517	UP
