GeneSymbol	ensembl_id	pval	adj_pval	logFC	direction
LOC729021		0.000138365293471806	0.00120766159834683	0.290549966417155	UP
CARM1		0.00081267135184346	0.00553433501314764	0.289877815933753	UP
ITPR3		5.24157268944624e-08	1.3420516740756e-06	0.289535857111606	UP
TPP1		2.2222521229632e-09	9.71055745335669e-08	0.289302209456254	UP
LOC338758		5.95791525864046e-07	1.07087568858804e-05	0.288278330031952	UP
DENND1C		7.8932486774138e-12	8.72171629474399e-10	0.287902758218683	UP
CDK5RAP3		1.21557684894347e-12	2.01062376836594e-10	0.286271747723818	UP
ARHGAP1		1.37460204140335e-11	1.36755149956737e-09	0.286168162001696	UP
RAB40C		3.12201850806324e-11	2.59792410481151e-09	0.284861768495107	UP
FASN		8.77933171387828e-10	4.42429088482004e-08	0.284828423717366	UP
CORO7		1.42309233951091e-08	4.51388147830044e-07	0.283783997629101	UP
WDR6		1.3900458006788e-08	4.41946047548362e-07	0.282320144782894	UP
C16ORF7		1.33596172328998e-11	1.33403200080078e-09	0.281650921551009	UP
SNTB2		2.04480325581303e-15	2.75649702899875e-12	0.279483321362505	UP
SLC6A10P		0.0049778763657599	0.0251987466573888	0.278603578602469	UP
SOLH		7.07574195662534e-10	3.72016468545572e-08	0.278335115686762	UP
HK3		3.7901866127342e-07	7.30430459370455e-06	0.277679920878267	UP
ACTN4		2.27616796128467e-09	9.87767397438311e-08	0.275980746980878	UP
KPNA6		4.42512226820438e-10	2.53303017989508e-08	0.275457383026092	UP
SLC9A1		2.59517384373411e-09	1.09668467086074e-07	0.275089186579295	UP
SLC12A9		4.43620551702018e-09	1.7159904870069e-07	0.274870922776909	UP
ARHGAP4		2.83918897363503e-10	1.73576811605837e-08	0.274547918873083	UP
GLT25D1		1.12830978015683e-10	7.80009230328418e-09	0.27447858472401	UP
OSCAR		4.39378587948422e-08	1.15797518178665e-06	0.273696918557526	UP
GPX1		0.000136254635004652	0.00119271467998715	0.273464242349649	UP
LOC399744		1.19105734971946e-05	0.000141650186174621	0.273369204581854	UP
CHST13		0.00151172601199156	0.00937388339680417	0.273367894325538	UP
NXF1		3.60608146512674e-14	1.57248098407599e-11	0.273077999849294	UP
RBM38		0.00649419355512737	0.0313444239956658	0.27259000142833	UP
UBR4		5.25569062812143e-11	4.11914752979017e-09	0.272231473206023	UP
C15ORF39		1.92546843872329e-06	2.95461323713254e-05	0.271581871827543	UP
NPEPL1		1.29218726014526e-11	1.29511749891362e-09	0.270576656209238	UP
GPR137		5.35658122780542e-09	2.01141994242328e-07	0.270029358291014	UP
SCAP		1.47144415781801e-08	4.63659523598551e-07	0.26973903553673	UP
RHBDD2		1.18618734092678e-10	8.13760735336560e-09	0.268802396880497	UP
TBXAS1		1.77600839225375e-08	5.38010811950038e-07	0.268421165361923	UP
MFSD10		4.39776632838048e-12	5.4389072467645e-10	0.268413822983565	UP
LYL1		9.92103464056653e-05	0.000897888603371313	0.268310076016707	UP
SLC15A3		3.99002902200928e-08	1.05870000630693e-06	0.267998203852917	UP
ELF4		2.98940159104569e-11	2.51081795315211e-09	0.266259004790069	UP
ITGAX		2.72965824816707e-06	4.00840501246363e-05	0.266178675242402	UP
POLR2A		5.76506757920992e-08	1.45945527702421e-06	0.266148495793887	UP
EPN1		2.2832603425328e-12	3.18958456450916e-10	0.265620839049495	UP
GDPD5		4.81517829834497e-09	1.8466859473923e-07	0.264924785760124	UP
PRR5		6.19200991752563e-06	8.10401841681594e-05	0.264799212857538	UP
HS.443185		1.43860574692703e-09	6.64549503599734e-08	0.264629381294158	UP
CXXC1		2.18172062486588e-10	1.38403222981197e-08	0.264160171271357	UP
IL8RB		2.49598916144583e-05	0.000268211892314631	0.264023718231677	UP
PRIC285		1.19814197018488e-05	0.000142429919127666	0.263584071045663	UP
GBA		5.76167828266759e-10	3.15092511519271e-08	0.263520395495558	UP
MNT		5.83088020211659e-11	4.45343799233046e-09	0.262981865956567	UP
CSF1R		3.46935064926363e-06	4.91524765395673e-05	0.262917071091191	UP
WASF2		1.66157811245922e-05	0.000188463641102285	0.26254261857525	UP
